GEO_ID,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,MORE THAN 1 RACE
7000000US37001000001,4066,3568,226,16,7,0,83,498
7000000US37001000002,3766,3430,116,19,11,4,53,399
7000000US37001000004,4307,3668,379,22,8,5,69,468
7000000US37001000005,2756,2459,133,12,6,2,71,219
7000000US37001000007,3475,3007,195,11,18,0,109,405
7000000US37001000011,3743,2041,1249,30,13,0,211,597
7000000US37001000013,4674,2289,1372,40,26,0,642,915
7000000US37001000035,7042,5587,733,23,138,4,177,1140
7000000US3700100003C,2246,1891,162,4,63,0,49,231
7000000US3700100003N,5006,4209,370,8,125,0,64,690
7000000US3700100003S,8160,5362,1502,33,500,1,300,1386
7000000US3700100003W,3111,2505,322,14,60,0,79,393
7000000US37001000063,3574,1196,1101,69,47,1,927,699
7000000US37001000064,4952,3314,695,50,113,0,498,846
7000000US3700100006E,3183,1783,864,35,38,7,230,678
7000000US3700100006N,3587,1383,1212,60,33,2,639,774
7000000US3700100006S,3986,2631,913,29,72,1,142,594
7000000US3700100006W,1573,742,439,26,16,1,253,288
7000000US3700100008N,3284,2605,244,35,12,1,218,507
7000000US3700100008S,1647,1410,85,8,18,0,43,249
7000000US3700100009N,2596,1775,504,21,60,2,94,420
7000000US3700100009S,5208,3910,502,56,89,2,334,945
7000000US37001000103,3556,2547,398,36,46,1,304,672
7000000US3700100010N,3788,2856,530,21,45,0,140,588
7000000US3700100010S,9368,5630,2464,51,273,7,317,1878
7000000US37001000124,1991,1395,342,8,20,1,127,294
7000000US37001000125,2415,1720,310,16,54,8,168,417
7000000US37001000126,1682,1501,83,0,19,0,35,132
7000000US37001000127,5610,1843,2458,63,54,4,882,918
7000000US37001000128,2815,1050,1143,32,42,2,388,474
7000000US37001000129,1932,1439,231,14,39,3,102,312
7000000US3700100012E,2632,969,784,49,34,5,606,555
7000000US3700100012N,4789,1168,2299,68,38,3,884,987
7000000US3700100012S,1956,706,639,11,19,0,422,477
7000000US3700100012W,2289,1661,331,21,26,4,140,318
7000000US370010003N2,791,769,6,0,3,0,0,39
7000000US37001001210,2413,1315,759,21,48,4,159,321
7000000US3700300000E,2563,2379,105,3,9,0,11,168
7000000US3700300000M,2039,1708,120,9,20,0,84,294
7000000US3700300000W,1835,1689,13,6,25,0,25,231
7000000US370030000B1,3088,2831,30,5,63,1,37,363
7000000US370030000B2,3594,3297,68,11,52,0,32,402
7000000US3700300G1G2,1696,1553,31,9,1,0,34,204
7000000US3700300LRSL,2066,1921,43,8,10,0,31,159
7000000US3700300S1S2,3320,2875,118,15,13,0,163,408
7000000US3700300T2T3,3215,2660,264,22,27,0,122,360
7000000US37003T1T4T5,5857,4549,856,36,63,0,150,609
7000000US37005000001,1304,1220,7,9,0,1,27,120
7000000US37005000004,1621,1426,23,3,2,0,85,246
7000000US3700500003A,4239,3658,54,14,13,1,306,579
7000000US3700500006A,1778,1668,5,8,0,1,34,186
7000000US370070000MM,1194,359,767,5,4,1,34,72
7000000US370070000WS,364,195,125,1,9,0,15,57
7000000US37007000ANS,1109,680,379,5,5,0,9,93
7000000US3700700BURN,1383,1092,201,4,11,1,32,126
7000000US3700700GULL,1065,469,554,2,11,3,8,54
7000000US3700700LILE,2296,1071,1120,24,9,0,6,198
7000000US3700700PEAC,1381,1114,158,1,15,0,52,123
7000000US3700700POLK,1130,645,405,4,9,0,23,132
7000000US370070WADES,7923,3340,4165,44,96,2,113,489
7000000US37009000002,1357,1283,8,1,2,0,27,108
7000000US37009000003,482,459,2,0,0,0,4,51
7000000US37009000004,491,467,1,1,2,0,4,48
7000000US37009000006,538,503,0,4,0,0,2,87
7000000US37009000007,470,448,0,1,0,0,7,42
7000000US37009000008,226,212,0,0,0,0,7,21
7000000US37009000009,3920,3593,35,22,14,0,122,402
7000000US37009000010,304,297,0,0,1,0,0,18
7000000US37009000011,2321,2044,10,7,13,0,116,393
7000000US37009000012,736,700,0,2,4,0,8,66
7000000US37009000013,1103,1071,2,3,3,0,1,69
7000000US37009000014,2383,2263,3,7,10,0,27,219
7000000US37009000015,986,925,7,2,1,0,28,69
7000000US37009000016,2102,1974,6,5,7,0,52,174
7000000US37009000017,899,851,3,3,2,0,2,114
7000000US37009000018,195,187,0,1,4,0,0,9
7000000US37009000020,3471,3182,20,17,16,0,98,414
7000000US37011000001,912,802,1,7,6,0,43,159
7000000US37011000002,2879,2614,57,13,14,1,51,387
7000000US37011000003,495,468,4,0,2,0,3,54
7000000US37011000004,120,104,1,2,0,0,2,33
7000000US37011000005,410,379,2,2,2,0,12,39
7000000US37011000006,981,927,1,8,0,0,27,54
7000000US37011000007,223,204,3,0,0,0,3,39
7000000US37011000008,268,254,0,0,0,0,4,30
7000000US37011000009,355,333,3,1,1,0,12,15
7000000US37011000010,2675,1996,554,18,6,0,72,87
7000000US37011000011,565,524,2,6,1,0,9,69
7000000US37011000012,309,285,3,2,0,0,10,27
7000000US37011000013,527,486,6,0,3,0,17,45
7000000US37011000014,926,864,4,1,0,0,18,117
7000000US37011000015,837,726,17,4,3,0,49,114
7000000US37011000016,1371,1290,0,2,4,0,33,126
7000000US37011000017,527,508,1,0,1,0,1,48
7000000US37011000018,360,332,3,1,0,0,13,33
7000000US37011000019,364,350,0,0,1,0,2,33
7000000US370130000HB,854,722,74,4,4,0,23,81
7000000US3701300BLCK,861,640,190,2,2,1,4,66
7000000US3701300NCRK,1364,1234,90,2,0,0,19,57
7000000US3701300OLDF,1583,1040,431,1,7,1,52,153
7000000US3701300RVRD,2430,1650,416,11,1,2,272,234
7000000US3701300TCRK,2586,1926,405,15,19,2,122,291
7000000US3701300WDPD,1654,1395,134,1,2,0,90,96
7000000US370130AUROR,1079,601,439,2,0,0,8,87
7000000US370130BEADM,1885,1586,120,3,5,0,124,141
7000000US370130BELHV,1639,936,585,3,4,0,64,141
7000000US370130CHOCO,4281,2984,913,10,11,0,186,531
7000000US370130EDWAR,1043,655,324,4,3,1,9,141
7000000US370130GILEA,2035,1813,163,6,13,0,7,99
7000000US370130PANTE,1246,796,345,7,0,0,76,66
7000000US370130PINET,927,812,64,3,2,0,28,54
7000000US370130PSJW3,1568,499,908,6,12,0,79,192
7000000US370130SURBA,1862,1728,56,9,7,0,12,150
7000000US370130WASH1,1672,841,717,12,13,0,37,156
7000000US370130WASH2,1672,687,840,5,17,0,55,204
7000000US370130WASH4,2544,1689,605,11,18,1,130,270
7000000US370130WASHP,1220,916,174,6,2,0,82,120
7000000US370150000C1,952,476,448,3,0,1,6,54
7000000US370150000C2,1424,414,962,4,0,0,19,75
7000000US370150000IW,340,28,293,3,0,0,6,30
7000000US370150000M1,748,338,385,2,1,0,6,48
7000000US370150000M2,860,320,486,2,2,0,12,114
7000000US370150000MH,751,356,377,1,3,0,0,42
7000000US370150000RX,1081,270,765,3,0,2,14,81
7000000US370150000SN,852,163,653,0,3,1,16,48
7000000US370150000W1,5279,1606,3363,38,39,2,75,468
7000000US370150000W2,707,664,10,5,2,0,8,54
7000000US370150000WD,807,116,663,1,0,0,10,51
7000000US370150000WH,1095,671,395,1,3,0,8,51
7000000US37017000P10,742,469,217,13,2,0,10,93
7000000US37017000P15,2894,1909,568,47,8,1,246,345
7000000US37017000P25,1099,596,430,20,0,0,28,75
7000000US37017000P30,1300,256,747,217,0,3,24,159
7000000US37017000P35,763,327,300,15,0,0,92,87
7000000US37017000P40,1604,1177,293,24,3,1,75,93
7000000US37017000P45,594,398,104,12,0,1,36,129
7000000US37017000P55,650,332,236,14,4,0,34,90
7000000US37017000P60,1598,738,591,47,2,0,153,201
7000000US37017000P65,630,447,113,10,0,0,47,39
7000000US37017000P70,454,263,126,10,0,1,23,93
7000000US37017000P75,1208,398,710,54,6,0,18,66
